success type,attribution_method,SearchMatchType,SearchCategory,RecordType,CampaignMap,ActivitySubType,CampaignMapSearch,Site,CampaignType,Channel,contribution
build0, last_event,  ,  , Impression, Retail January, ,  , Mobile.de, Retail, Previous Site Activity, 2674.0
build0, last_event, Broad, Generic, Search Click,  , , Klein, DART Search : Google,  , Previous Site Activity, 101.0
build0, attributed, Exact, Generic, Search Click,  , , Klein, DART Search : Google,  , Previous Site Activity, 115.835908195
build004, attributed,  ,  , Display Click, Retail Sales, ,  , Light Reaction, Retail, Previous Site Activity, 5.44091356314
testd00, last_event,  ,  , Display Click, Kuga Sustain, ,  , Quisma, Brand, Previous Site Activity, 29.0
testd00, attributed,  ,  , Display Click, Retail January, ,  , Mobile.de, Retail, Previous Site Activity, 1.31111111111
build004, last_event,  ,  , Impression, Kuga Sustain, ,  , AutoScout24 Media, Brand, Previous Site Activity, 6.0
build0, attributed,  ,  , Impression, Kuga Sustain, ,  , Media Impact DE, Brand, Previous Site Activity, 5120.48272624
build0, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , OMS DE, Retail, Previous Site Activity, 151.0
build0, attributed, Exact, Commercial Vehicles, Search Click,  , , Tourneo, DART Search : Google,  , Previous Site Activity, 158.111446823
build0, last_event, Broad, Generic, Search Click,  , , Turer, DART Search : Google,  , Previous Site Activity, 16.0
build0, last_event, Broad, Commercial Vehicles, Search Click,  , , Tourneo, DART Search : Google,  , Previous Site Activity, 87.0
build004, attributed, Broad, Brand, Search Click,  , , Alone, DART Search : Google,  , Previous Site Activity, 22.8751342876
build004, attributed,  ,  , Display Click, Gewerbewochen Marz, ,  , IQ Digital Network, Retail, Previous Site Activity, 1.0
build0, attributed, Exact, Generic, Search Click,  , , Turer, DART Search : Google,  , Previous Site Activity, 1.00001557077
build004, attributed,  ,  , Display Click, Smax, ,  , united internet media, Brand, Previous Site Activity, 2.31178407936
build004, last_event,  ,  , Impression, Kuga Sustain, ,  , Interactive Media, Brand, Previous Site Activity, 3.0
testd00, last_event,  ,  , Impression, Smax, ,  , yahoo.co.uk, Brand, Previous Site Activity, 3.0
build0, last_event,  ,  , Impression, Mondeo Vignale 2015, ,  , SevenOne Media, Brand, Previous Site Activity, 2.0
build0, attributed,  ,  , Display Click, Fleet Allrad, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 5.69891087106
build0, last_event,  ,  , Display Click, Mondeo Vignale 2015, ,  , ForwardAdGroup, Brand, Previous Site Activity, 1.0
testd00, attributed,  ,  , Display Click, Retail Marz, ,  , Light Reaction, Retail, Previous Site Activity, 6.29148994214
testd00, attributed,  ,  , Impression, Kuga Sustain, ,  , united internet media, Brand, Previous Site Activity, 3.36735337215
build004, attributed,  ,  , Impression, Fleet February, ,  , aumago.com, Retail, Previous Site Activity, 5.35480487861
testd00, attributed,  ,  , Impression, UNKNOWN, ,  , xaxis.com/de, UNKNOWN, Previous Site Activity, 0.48741636853
build004, attributed, Broad, Name Plate, Search Click,  , , Mondeo Vignale, DART Search : Google,  , Previous Site Activity, 0.5
build004, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , mirando.de, Retail, Previous Site Activity, 2.0
build0, last_event, Exact, Generic, Search Click,  , , Familien, DART Search : Google,  , Previous Site Activity, 141.0
build0, attributed,  ,  , Display Click, Gewerbewochen Marz, ,  , OMS DE, Retail, Previous Site Activity, 4.40101779589
testd00, last_event, Exact, Brand, Search Click,  , , Aktionen, DART Search : Google,  , Previous Site Activity, 1.0
build004, last_event, Broad, Name Plate, Search Click,  , , Focus, DART Search : Google,  , Previous Site Activity, 17.0
euepr528, attributed, Broad, Commerce, Search Click,  , , Ford Rental, DART Search : Google,  , Previous Site Activity, 1.0
testd00, last_event, Phrase, Brand, Search Click,  , , Retail, DART Search : Google,  , Previous Site Activity, 1.0
testd00, attributed, Broad, Generic, Search Click,  , , Limousine, DART Search : Google,  , Previous Site Activity, 0.5
build004, attributed,  ,  , Display Click, Smax, ,  , undertone.co.uk, Brand, Previous Site Activity, 0.315735136633
testd00, last_event, Exact, Generic, Search Click,  , , Ford Technology, DART Search : Google,  , Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, UNKNOWN, ,  , xaxis.com/de, UNKNOWN, Previous Site Activity, 30.1153146415
build004, attributed, Exact, Name Plate, Search Click,  , , Fiesta Retail, DART Search : Google,  , Previous Site Activity, 29.5002436765
build004, last_event, Broad, Name Plate, Search Click,  , , Fiesta Retail, DART Search : Google,  , Previous Site Activity, 15.0
build004, attributed,  ,  , Display Click, Smax, ,  , Mobile.de, Brand, Previous Site Activity, 1.83333333333
build0, attributed,  ,  , Display Click, Smax, ,  , XaxisDE, Brand, Previous Site Activity, 677.573249849
testd00, attributed,  ,  , Impression, Kuga Sustain, ,  , Mobile.de, Brand, Previous Site Activity, 23.9883248637
build0, last_event, Exact, Brand, Search Click,  , , Aktionen, DART Search : Google,  , Previous Site Activity, 119.0
build004, last_event,  ,  , Display Click, Smax, ,  , Esome, Brand, Previous Site Activity, 10.0
build0, attributed, Broad, Generic, Search Click,  , , Limousine, DART Search : Google,  , Previous Site Activity, 3.53883475827
build0, attributed,  ,  , Display Click, UNKNOWN, ,  , autozeitung.de, UNKNOWN, Previous Site Activity, 3.50663071431
build004, last_event,  ,  , Display Click, Retail Sales, ,  , AutoScout24 Media, Retail, Previous Site Activity, 1.0
build0, last_event,  ,  , Display Click, UNKNOWN, ,  , Conde Nast, UNKNOWN, Previous Site Activity, 3.0
build004, attributed,  ,  , Impression, Retail Marz, ,  , XaxisDE, Retail, Previous Site Activity, 1.45605976098
build004, last_event,  ,  , Impression, Smax, ,  , ForwardAdGroup, Brand, Previous Site Activity, 4.0
build0, attributed,  ,  , Display Click, Kuga Sustain, ,  , OMS DE, Brand, Previous Site Activity, 80.4879219454
build0, last_event,  ,  , Impression, Motocraft 2016, ,  , Mobile.de, Retail, Previous Site Activity, 586.0
build0, last_event,  ,  , Display Click, Gewerbewochen Marz, ,  , Mobile.de, Retail, Previous Site Activity, 40.0
testd00, attributed,  ,  , Impression, Kuga Sustain, ,  , Bauer Media, Brand, Previous Site Activity, 12.7461567489
build0, last_event, Exact, Generic, Search Click,  , , Van, DART Search : Google,  , Previous Site Activity, 52.0
testd00, attributed,  ,  , Impression, Fleet February, ,  , Quarter Media, Retail, Previous Site Activity, 3.36548584621
testd00, attributed, Exact, Generic, Search Click,  , , Wagen, DART Search : Google,  , Previous Site Activity, 1.0
testd00, attributed,  ,  , Impression, Smax, ,  , G+J Electric Media Sales GmbH, Brand, Previous Site Activity, 1.28326735456
build004, attributed, Broad, Generic, Search Click,  , , Ford Technology, DART Search : Google,  , Previous Site Activity, 1.02216274138e-05
build004, last_event,  ,  , Impression, Retail January, ,  , auto-service.de, Retail, Previous Site Activity, 1.0
testd00, last_event, Broad, Generic, Search Click,  , , Wagen, DART Search : Google,  , Previous Site Activity, 1.0
euepr528, attributed, Broad, Name Plate, Search Click,  , , Ranger, DART Search : Google,  , Previous Site Activity, 0.333333333333
build0, attributed,  ,  , Impression, Retail Marz, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 2873.10715448
build0, attributed,  ,  , Display Click, Kuga Sustain, ,  , SevenOne Media GmbH, Brand, Previous Site Activity, 246.225774895
